WITHIN,NUM
180,1
360,0
540,0
720,1
900,0
1080,0
1260,0
1440,1
1620,1
1800,0
1980,0
2160,0
2340,0
2520,0
2700,0
2880,1
3060,0
3240,0
3420,0
3600,0
3780,0
3960,0
4140,0
4320,1
4500,0
4680,0
4860,0
5040,0
5220,0
5400,0
5580,0
5760,1
5940,0
6120,0
6300,0
6480,0
6660,0
6840,1
7020,0
7200,0
7380,0
7560,0
7740,0
7920,0
8100,0
8280,0
8460,0
8640,1
8820,0
9000,0
9180,0
9360,0
9540,0
9720,0
9900,0
10080,0
10260,1
10440,0
10620,0
10800,0
10980,0
11160,0
11340,0
11520,0
11700,0
11880,0
12060,0
12240,0
12420,0
12600,0
12780,0
12960,0
13140,0
13320,1
13500,0
13680,1
13860,0
14040,0
14220,0
14400,0
14580,0
14760,1
14940,0
15120,0
15300,0
15480,0
15660,0
15840,0
16020,0
16200,0
16380,0
16560,0
16740,0
16920,0
17100,0
17280,0
17460,0
17640,0
17820,0
18000,0
18180,0
18360,0
18540,0
18720,1
18900,0
19080,0
19260,1
19440,0
19620,0
19800,0
19980,0
20160,0
20340,0
20520,0
20700,0
20880,0
21060,1
21240,0
21420,0
21600,0
21780,1
21960,0
22140,0
22320,1
22500,0
22680,0
22860,0
23040,0
23220,0
23400,0
23580,1
23760,0
23940,0
24120,0
24300,0
24480,0
24660,0
24840,0
25020,0
25200,0
25380,0
25560,0
25740,1
25920,0
26100,0
26280,0
26460,0
26640,0
26820,0
27000,0
27180,0
27360,0
27540,0
27720,0
27900,0
28080,0
28260,0
28440,0
28620,1
28800,0
28980,0
29160,0
29340,0
29520,0
29700,0
29880,0
30060,0
30240,0
30420,1
30600,0
30780,0
30960,0
31140,0
31320,0
31500,0
31680,0
31860,0
32040,0
32220,0
32400,0
32580,0
32760,0
32940,0
33120,0
33300,0
33480,0
33660,0
33840,0
34020,0
34200,0
34380,0
34560,0
34740,0
34920,0
35100,0
35280,0
35460,0
35640,0
35820,1
36000,0
MORE,6
